"Slug","Common Name","Aliases","Image","Image:alt","Hint 1","Hint 2","Hint 3","Fun Facts","Category","Image Attribution"
"giraffe","Giraffe","Giraffa camelopardalis, giraffe","https://framerusercontent.com/images/vmKbEL8L6ryuN1bGZWGJv6jv0.jpg","A giraffe stands tall in a savanna landscape.","My tongue can be almost 50 cm long.","I have a one-of-a-kind spot pattern.","I’m the tallest land animal on Earth.","A giraffe’s heart can weigh more than 10 kilograms, and it pumps blood all the way up its long neck.","Mammal","Photo: Unsplash"
"red-panda","Red Panda","lesser panda, red cat-bear","https://upload.wikimedia.org/wikipedia/commons/c/c6/Red_Panda.JPG","A red panda rests on a wooden platform, showing its reddish coat and bushy tail.","I spend most of my day curled up asleep in a tree.","My diet is almost entirely bamboo, even though I'm not closely related to the black-and-white panda.","I have a bushy ringed tail and a reddish coat, and people sometimes call me a 'red cat-bear.'","Red pandas use their bushy tails as blankets in cold weather and have a false thumb, an extended wrist bone, that helps them grip bamboo stems.","Mammal","Photo: Bernard Landgraf, CC BY-SA 3.0, Wikimedia Commons"
"blobfish","Blobfish","Psychrolutes marcidus","https://upload.wikimedia.org/wikipedia/commons/7/7f/Blobfish.png","A pale, gelatinous blobfish with a droopy, saggy face.","I live so deep underwater that the pressure would crush most other fish.","Out of the water, gravity makes me look nothing like I do in my natural habitat.","I've been voted one of the world's ugliest animals, and my saggy face is famous online.","A blobfish's body is mostly a gel-like substance slightly less dense than water, letting it float just above the sea floor without wasting energy swimming.","Fish","Photo: Alphama, CC BY-SA 3.0, Wikimedia Commons"
"pangolin","Pangolin","scaly anteater, Sunda pangolin, Manis javanica","https://upload.wikimedia.org/wikipedia/commons/1/1b/Sunda_Pangolin_Trenggiling_jawa.jpg","A scaly pangolin walking across the forest floor.","I'm the only mammal in the world completely covered in scales.","When I feel threatened, I roll up into a tight, armored ball.","I use a long, sticky tongue to slurp up ants and termites, much like an anteater.","A pangolin's tongue can be longer than its own body, and it retracts into a pouch near its pelvis when not in use.","Mammal","Photo: Ari hidayat99, CC BY-SA 4.0, Wikimedia Commons"
"narwhal","Narwhal","unicorn of the sea, Monodon monoceros","https://upload.wikimedia.org/wikipedia/commons/6/68/Narwhal_-_KB_%2848754862101%29.jpg","An old illustration of a narwhal showing its long, spiraled tusk.","I live year-round in cold Arctic waters.","Males of my species usually grow a single long, spiraled tusk.","That tusk is actually an overgrown tooth, and it's inspired centuries of unicorn legends.","A narwhal's tusk is a canine tooth that can grow up to 3 meters long and is packed with nerve endings, possibly helping it sense changes in the water.","Marine","Photo: The Public Domain Review, Public Domain, Wikimedia Commons"
"platypus","Platypus","duck-billed platypus, Ornithorhynchus anatinus","https://upload.wikimedia.org/wikipedia/commons/4/48/Platypus_in_Geelong.jpg","A platypus being held near a riverbank, showing its duck-like bill.","I lay eggs, even though I'm a mammal.","I have a soft, sensitive bill that I use to detect prey underwater.","I look like a mix of a duck, a beaver, and an otter, and the males among us have a venomous spur on their hind legs.","When platypuses were first described to European scientists, many believed the pelt was an elaborate hoax stitched together from other animals.","Mammal","Photo: TwoWings, CC BY-SA 3.0, Wikimedia Commons"
"axolotl","Axolotl","Mexican walking fish, Ambystoma mexicanum","https://upload.wikimedia.org/wikipedia/commons/2/24/Axolotl_Wild_Type.jpg","A pale pink axolotl with feathery external gills, resting underwater.","I never really grow up, I keep my juvenile features my whole life.","If I lose a limb, or even part of my heart or brain, I can regrow it.","I'm a salamander with feathery external gills and a face that always looks like it's smiling.","Axolotls are critically endangered in the wild in Mexico, even though they're one of the most common amphibians kept in captivity worldwide.","Amphibian","Photo: Marius Maehlen (Mariblubb), CC BY-SA 4.0, Wikimedia Commons"
"chameleon","Chameleon","Common Chameleon, Chamaeleo chamaeleon","https://upload.wikimedia.org/wikipedia/commons/f/fd/Chamaeleo_chamaeleon_-_Common_Chameleon_-_Bukalemun.jpg","A chameleon gripping a branch with its curled tail and independently rotating eyes.","Each of my eyes can swivel and focus independently of the other.","I'm famous for changing color, though it's more about mood and temperature than blending in.","I have a long, sticky tongue I can shoot out faster than a blink to catch insects.","A chameleon's tongue can extend to more than one and a half times its own body length and accelerates faster than a fighter jet.","Reptile","Photo: Zeynel Cebeci, CC BY-SA 4.0, Wikimedia Commons"
"sloth","Sloth","three-toed sloth, brown-throated sloth, Bradypus variegatus","https://upload.wikimedia.org/wikipedia/commons/b/bd/Brown-throated_sloth_on_tree.jpg","A sloth hanging from a tree branch, moving slowly through the canopy.","I move so slowly that algae grows in my fur.","I spend almost my entire life hanging upside down in trees.","I'm famous as one of the slowest-moving mammals on Earth.","Sloths only leave their trees to go to the bathroom about once a week, and the trip can be dangerous since it's when they're most vulnerable to predators.","Mammal","Photo: Krunal Desai, CC BY-SA 4.0, Wikimedia Commons"
"seahorse","Seahorse","long-snouted seahorse, Hippocampus guttulatus","https://upload.wikimedia.org/wikipedia/commons/b/b5/LongSnoutedSeahorse1600ppx.jpg","A seahorse floating upright in the water, its tail curled around a strand of seagrass.","In my species, it's the males who carry the babies, not the females.","I swim upright, and I'm a famously weak swimmer despite living in the open ocean.","My head looks like a horse's, which is exactly how I got my name.","Male seahorses carry fertilized eggs in a specialized pouch and give birth to fully-formed babies, one of the only examples of male pregnancy in the animal kingdom.","Marine","Photo: FASTILY, CC BY-SA 3.0, Wikimedia Commons"
